iter	Passed	Remaining
399	62062	15515
400	62212	15359
401	62360	15202
402	62509	15045
403	62658	14889
404	62807	14732
405	62957	14576
406	63110	14420
407	63259	14264
408	63409	14108
409	63558	13951
410	63708	13795
411	63856	13639
412	64005	13483
413	64155	13326
414	64306	13171
415	64455	13015
416	64603	12858
417	64751	12702
418	64899	12546
419	65050	12390
420	65198	12234
421	65350	12078
422	65500	11923
423	65649	11767
424	65796	11611
425	65945	11455
426	66097	11299
427	66245	11144
428	66395	10988
429	66543	10832
430	66693	10677
431	66842	10521
432	66992	10366
433	67143	10210
434	67296	10055
435	67448	9900
436	67599	9745
437	67749	9590
438	67900	9434
439	68048	9279
440	68197	9123
441	68346	8968
442	68497	8813
443	68646	8658
444	68794	8502
445	68942	8347
446	69094	8192
447	69243	8037
448	69394	7882
449	69545	7727
450	69697	7572
451	69844	7417
452	69992	7261
453	70140	7106
454	70292	6951
455	70444	6797
456	70600	6642
457	70750	6488
458	70900	6333
459	71049	6178
460	71197	6023
461	71346	5868
462	71496	5713
463	71644	5558
464	71795	5403
465	71944	5249
466	72094	5094
467	72242	4939
468	72390	4784
469	72539	4630
470	72688	4475
471	72838	4320
472	72987	4166
473	73140	4011
474	73288	3857
475	73438	3702
476	73588	3548
477	73737	3393
478	73888	3239
479	74038	3084
480	74187	2930
481	74336	2776
482	74484	2621
483	74632	2467
484	74781	2312
485	74930	2158
486	75080	2004
487	75232	1849
488	75383	1695
489	75531	1541
490	75682	1387
491	75832	1233
492	75980	1078
493	76132	924
494	76281	770
495	76431	616
496	76579	462
497	76728	308
498	76875	154
499	77027	0
