iter	MultiClass
0	2.204168688
1	2.112310156
2	2.022590051
3	1.956988099
4	1.888907698
5	1.827549315
6	1.772899868
7	1.715381991
8	1.659931415
9	1.608349071
10	1.561561497
11	1.515712342
12	1.478156027
13	1.435611416
14	1.400519109
15	1.36312432
16	1.330870238
17	1.296360502
18	1.266647033
19	1.236650618
20	1.206127664
21	1.179182312
22	1.152980161
23	1.124746423
24	1.10016461
25	1.076560963
26	1.050240938
27	1.027478983
28	1.007499642
29	0.9873771238
30	0.968569798
31	0.9485849436
32	0.9301066712
33	0.9111091495
34	0.8943178571
35	0.8775088568
36	0.8611863395
37	0.8449327068
38	0.8302794165
39	0.8170409881
40	0.8030429247
41	0.7886502147
42	0.7747431293
43	0.7610405345
44	0.7470569434
45	0.7343347958
46	0.7220475145
47	0.7106671957
48	0.6992940961
49	0.688287077
50	0.6759263572
51	0.6650605036
52	0.6540899815
53	0.6444805835
54	0.6340809563
55	0.6245336277
56	0.6144433248
57	0.6049285632
58	0.5951596277
59	0.5858796615
60	0.5778086187
61	0.5684965457
62	0.559646957
63	0.551334678
64	0.5438074641
65	0.5355060546
66	0.5272621178
67	0.5204138479
68	0.5135210894
69	0.5067718873
70	0.5006299669
71	0.4935940764
72	0.4870793512
73	0.4803147999
74	0.4736776731
75	0.4675518225
76	0.4613602036
77	0.4560545129
78	0.450817213
79	0.4445867025
80	0.4390167722
81	0.4336157838
82	0.4285746159
83	0.4227270957
84	0.4174343064
85	0.4116231875
86	0.4067632842
87	0.4018570028
88	0.3972310895
89	0.3925183105
90	0.3877856565
91	0.3834025461
92	0.3786554793
93	0.3744448871
94	0.3699852533
95	0.3654851091
96	0.3615115054
97	0.3571446386
98	0.352736744
99	0.3490270488
100	0.345379956
101	0.3414989358
102	0.338148437
103	0.3344603525
104	0.3306532389
105	0.3276644315
106	0.3242181859
107	0.3207930353
108	0.3176474633
109	0.3143237832
110	0.3112990915
111	0.3081730758
112	0.3052253854
113	0.3021725327
114	0.2991613505
115	0.2962459331
116	0.2932351724
117	0.2901078339
118	0.2872879702
119	0.2847156347
120	0.2820773829
121	0.2791903312
122	0.2764508419
123	0.2737616666
124	0.2712381463
125	0.2686772414
126	0.2661400595
127	0.2634900327
128	0.2610013335
129	0.2582903573
130	0.256007352
131	0.2538274801
132	0.2516021298
133	0.2494271683
134	0.2473910419
135	0.2453063363
136	0.2433150155
137	0.2411763121
138	0.2387282397
139	0.2365618475
140	0.2346671166
141	0.2324375252
142	0.2300424153
143	0.228062712
144	0.2261270397
145	0.2241390062
146	0.2220866979
147	0.2201450359
148	0.2181601575
149	0.2161279601
150	0.2143106043
151	0.2125580147
152	0.2106383665
153	0.2089841877
154	0.2072504604
155	0.205676593
156	0.2041102838
157	0.2024657629
158	0.2006780568
159	0.1991295404
160	0.197393288
161	0.1957377093
162	0.1943220328
163	0.19276898
164	0.1913129817
165	0.18984015
166	0.1884854591
167	0.1869736376
168	0.1853008253
169	0.1838012912
170	0.1824551187
171	0.1809995223
172	0.1797103515
173	0.1783140337
174	0.1770176232
175	0.1755711541
176	0.1742099837
177	0.1730075277
178	0.1716972631
179	0.1702265166
180	0.169055103
181	0.1676862738
182	0.1664290993
183	0.1650474982
184	0.1635742951
