iter	MultiClass
200	0.1394001925
201	0.1385218547
202	0.1375057903
203	0.1365139996
204	0.135603781
205	0.1346338164
206	0.1337451515
207	0.1329015685
208	0.1319853719
209	0.131068329
210	0.1306509362
211	0.1298174178
212	0.1289597891
213	0.1280853556
214	0.1272310129
215	0.126868278
216	0.1260314576
217	0.1251728776
218	0.1244101842
219	0.1235487601
220	0.1227367662
221	0.1220168699
222	0.1211764397
223	0.1204223532
224	0.1196240639
225	0.1190655479
226	0.1184605227
227	0.1178461054
228	0.1170913351
229	0.1162404963
230	0.1155443989
231	0.1148548565
232	0.1140735364
233	0.1133344055
234	0.1125283989
235	0.1119266797
236	0.1113630544
237	0.1106468923
238	0.1100812459
239	0.1093985233
240	0.1088991012
241	0.1081333003
242	0.1075834336
243	0.1069838281
244	0.1063133296
245	0.1058881844
246	0.1052928396
247	0.1046812996
248	0.1040657435
249	0.1033981896
250	0.1027423218
251	0.1022103524
252	0.1016510475
253	0.1011311897
254	0.1007011242
255	0.1002699373
256	0.09970244264
257	0.09923119568
258	0.09871695998
259	0.09817283016
260	0.09768154801
261	0.09707337934
262	0.09655581623
263	0.09634874163
264	0.09589971878
265	0.09531157737
266	0.09487065171
267	0.09435079603
268	0.09383811555
269	0.09340282862
270	0.0930166769
271	0.09251624117
272	0.09212799638
273	0.09173661653
274	0.0913706389
275	0.09087179662
276	0.09038030401
277	0.09003379
278	0.08975448039
279	0.08938313869
280	0.0889477706
281	0.08846153402
282	0.0880623151
283	0.08778064053
284	0.08753755081
285	0.08716360748
286	0.08674992692
287	0.08639828113
288	0.08613660925
289	0.08573693556
290	0.08558079832
291	0.08530872239
292	0.0849851036
293	0.08470499268
294	0.08438179652
295	0.08397450567
296	0.08357485697
297	0.08317026773
298	0.08287170643
299	0.08257004833
300	0.08225836393
301	0.08189061686
302	0.08148939306
303	0.08110437084
304	0.08074672648
305	0.08042800386
306	0.08003055557
307	0.07974944746
308	0.0793757586
309	0.07899602912
310	0.0786730013
311	0.07836646215
312	0.07803738419
313	0.07781052386
314	0.07768314768
315	0.07736804242
316	0.07702047045
317	0.07664978327
318	0.07641470239
319	0.07614115585
320	0.07587556341
321	0.07550099497
322	0.07512591202
323	0.07483832441
324	0.07465502591
325	0.07441127742
326	0.07431885467
327	0.07402937095
328	0.073754761
329	0.0734432304
330	0.07321964386
331	0.07304958297
332	0.0729059791
333	0.07261217956
334	0.07244453467
335	0.07221612576
336	0.07204392662
337	0.07172818765
338	0.07139879023
339	0.0711459698
340	0.07085458247
341	0.07068040401
342	0.07045601842
343	0.07011264843
344	0.06993113412
345	0.06966865816
346	0.06941015597
347	0.06919375465
348	0.06904111964
349	0.06876306342
350	0.06845619691
351	0.06822845017
352	0.0680044007
353	0.06778153041
354	0.06752881523
355	0.06729764026
356	0.06703913914
357	0.06680682034
358	0.06655634795
359	0.06640225097
360	0.06626073266
361	0.06603224306
362	0.06575885419
363	0.06555395188
364	0.06539289651
365	0.06526752779
366	0.065150201
367	0.06495731388
368	0.06477819461
369	0.06461978712
370	0.06438291115
371	0.06420596116
372	0.06389484817
373	0.06371779616
374	0.06350718837
375	0.06331634368
376	0.0631535538
377	0.06301522992
378	0.06276965668
379	0.06263717538
380	0.06246378527
381	0.06240983198
382	0.06215743728
383	0.06196101596
384	0.06192437516
385	0.06174639975
386	0.06157687221
387	0.06147344757
388	0.06130573408
389	0.06110103967
390	0.06096422139
391	0.06094064133
392	0.06074512243
393	0.06055373504
394	0.06048054991
395	0.06033298677
396	0.06024986109
397	0.06014058886
398	0.05998545442
399	0.05991088051
400	0.05982780785
401	0.0596483584
402	0.05953513021
403	0.05943781813
404	0.05928770075
405	0.05918834515
406	0.05901451058
407	0.05882454163
408	0.05865186684
409	0.05854447543
410	0.05844432012
411	0.05831207168
412	0.05812982378
413	0.05790123174
414	0.05779023123
415	0.05769389076
416	0.05752757062
417	0.05740442081
418	0.05720132512
419	0.05714941254
420	0.05702443889
421	0.05681410867
422	0.05668747452
423	0.05662312537
424	0.05643564657
425	0.05628200221
426	0.05615253242
427	0.05605003718
428	0.05586997751
429	0.05577101417
430	0.05558067213
431	0.05540899034
432	0.05530572228
433	0.05518482324
434	0.05498699233
435	0.05482466445
436	0.05476520329
437	0.05460856959
438	0.05452534755
439	0.05442784043
440	0.0542226235
441	0.05406543108
442	0.05392718429
443	0.0537598049
444	0.05357448527
445	0.05343876726
446	0.05327741236
447	0.0531346031
448	0.05305009752
449	0.05291570611
450	0.05280369766
451	0.05270643184
452	0.0525647019
453	0.05247438319
454	0.05234449077
455	0.05220162021
456	0.05204200386
457	0.05193384342
458	0.05188763264
459	0.05169586434
460	0.05163398593
461	0.05150347511
462	0.05137368306
463	0.05131050084
464	0.0511428421
465	0.05103225343
466	0.05092115738
467	0.05079325827
468	0.05066416869
469	0.05056691257
470	0.0504408072
471	0.05034385722
472	0.05019827151
473	0.05012694102
474	0.0499691966
475	0.04992524366
476	0.04987860108
477	0.04973823257
478	0.04968618394
479	0.04962871779
480	0.04952082877
481	0.04935806111
482	0.04918459169
483	0.04909974643
484	0.04903275799
485	0.04891519257
486	0.04875133616
487	0.04863373179
488	0.04850627924
489	0.04839399637
490	0.04825773258
491	0.0480861188
492	0.04798809478
493	0.04790256908
494	0.04774736127
495	0.04766948221
496	0.04757307916
497	0.04744621085
498	0.04736706034
499	0.04727912343
